crm_name;crm_cp;crm_insee;crm_id;crm_commune;gt_siret;crm_adresse;SITE_CLI_COMMUNE;sirene_insee;sirene_cp;sirene_etat;loc_match_type;source_reference;source_product_category;source_contract_state;source_duplicate_count;target_siren;already_in_crm_ok_gt_exact;existing_component_relation;crm_surface_fingerprint;crm_gt_fingerprint;ambiguous_exact_truth_for_crm_surface;already_in_crm_ok_gt_exact_surface
FROMAGERIE ARRAGEOISE;62000;62041;112055;ARRAS;80739592600015;14 RUE DES 3 VISAGES;ARRAS;62041;62000;A;INSEE_AND_CP;S241015_18202;Fibre Essentiel;active;1;807395926;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;e8cb086730a7c232a3d822a5b0447b4bc8ebf9354d6b087237b6605df56cbd36;d224c4719cc8a10f6cfa3702db682150d6f7217709b1ff3551838ec9981934d0;False;False
APEI SOISSONS LES PAPILLONS BLANCS;02200;02722;112056;SOISSONS;31197534600348;6 RUE NEUVE DE L HOPITAL;SOISSONS;02722;02200;A;INSEE_AND_CP;S241015_06383;Fibre Essentiel;active;1;311975346;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;f8f25642bbb26dbddade047cbc79671367a3499844fe1fdc8a433aa54c50a9b2;57e1060aaac303ef5f849a8fd306c0d6a3436da50f9049f4c988410a2a1948f9;False;False
AGENCE NATIONALE POUR LA FORMATION ;59100;59512;112057;ROUBAIX;82422814201676;20 RUE DU LUXEMBOURG;ROUBAIX;59512;59100;A;INSEE_AND_CP;S241015_57797;Fibre Essentiel;active;1;824228142;False;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;f5f9b45aed489c0464dbf59e3c090e5bbc384a72e7b4500227dc38e0eff7e2f7;fb2021a8d5974fb98ec60504a94c50f9932b3c9aeb81181ccceef058ceaafea7;False;False
Leman habitat;74200;74281;112063;THONON LES BAINS;27740002400034;32 BOULEVARD DU CANAL;THONON LES BAINS;74281;74200;A;INSEE_AND_CP;S241015_90543;Fibre Essentiel;active;1;277400024;True;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;377e918312b63555285d15e422ef02b808e6e4327f1ae7958b7127c043fe8d5e;89f3c45785a83174767fc9431f231fbefaafb08be5f7f6cc5b0f6613594c81de;False;False
MAISON ACCUEIL ALESTI ;30000;30189;112067;NIMES;31270852200023;1264 CHEMIN DU MAS D ALESTI;NIMES;30189;30000;A;INSEE_AND_CP;S241015_05730;Fibre Confort;active;1;312708522;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;aa77e59daf3214eca48aa1849329b2a0f308dc201895a84f650d3e9b2e554930;6ccf5b910b7f3443ad19b00d5d88c96123563c2c2c424f1c8a99287e6d596bc9;False;False
COMMUNE DE M;71300;71306;112076;MONTCEAU LES MINES;21710306800011;2 RUE DES ECOLES;MONTCEAU LES MINES;71306;71300;A;INSEE_AND_CP;S241015_39193;Fibre Essentiel;active;1;217103068;True;EXISTING_TRAIN_COMPONENT;975a933100166aab03ac2dfee9ddad5fb942f7e5a518e55d9655f6f1bb11a4f8;521bc2efe7993dc47ecdbe789d6a19aa5925c7e3969493d59150396aac0d490c;False;False
COMMUNE DE MONTCEAU LES MINES;71300;71306;112082;MONTCEAU LES MINES;21710306800011;7 RUE DE LA FONTAINE;MONTCEAU LES MINES;71306;71300;A;INSEE_AND_CP;S241016_53400;Fibre Essentiel;active;1;217103068;True;EXISTING_TRAIN_COMPONENT;8e60d76d830e73d8221c127084011ef40bf2a460ef6c48dd12c1097e48e34345;b0abc00d8c890479a589e60da314e518692b5b12f968b63d7edee48129077d24;False;False
EPMS LA CLAIRIERE  EPMS LA CLAIRIERE  9940;14260;14027;112085;LES MONTS D AUNAY;26140795100092;18 RUE DE LA FAUCTERIE;LES MONTS D AUNAY;14027;14260;F;INSEE_AND_CP;S241016_43593;Revente Fibre Essentiel AI;active;1;261407951;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;8d8764f6884e36912ef7548a6d98c2869d1af81bc9bf15d3bcec2412bf19b205;dcc2bdb59beb6bdd32e919b84f422f857b3903565019f59668b1f3a8e8119d55;False;False
MIDAS ILLZACH EUROCARS 68;68110;68154;112097;ILLZACH;98160622100019;11 RUE DE BERNE;ILLZACH;68154;68110;A;INSEE_AND_CP;S241016_20011;Fibre Essentiel;active;1;981606221;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;ef34c359f1d11480c023a830cab325d4c30708ff39cf8fbcf9519ff53fa795e3;d549cd0881471a1e374a0c68e2c7fa7d2b07c058aa8dd71f29561d5996f93930;False;False
AIRFOPP TELECOM;50750;50095;112099;CANISY;53213334500027;24 ZONE ARTISANALE;CANISY;50095;50750;A;INSEE_AND_CP;S241016_45364;Revente Fibre Essentiel AI;active;1;532133345;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;1e731d2b0b6d381083569732adc3edffbdd91750d2052a8bb86431806a6daab3;86c6aa0803fef8fb2a3f1b3a587f7d04dbc247074b0000e5770a1c7694b22593;False;False
LVGA - ACCUEIL DE JOUR ORLEANS;45000;45234;1121;ORLEANS;77568340200652;11 RUE ANTIGNA;ORLEANS;45234;45000;A;INSEE_AND_CP;S190306_33001;Fibre Essentiel;terminated;1;775683402;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;6c3b0f325a691554728a4c4f019a87f67294af1caa3385774f31df3401cd9063;74274c89e7d65911029ebe611c904f35bbc403a74c208ee3663c56bc5222cfe8;False;False
SELARL FRIBOURG ET ASSOCIES;33500;33243;112102;LIBOURNE;45158955000016;26 RUE THIERS;LIBOURNE;33243;33500;A;INSEE_AND_CP;S241016_49164;Fibre Essentiel;active;1;451589550;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;4e1836ae022bff16cf45c7a008fb585772a9ab9844be5bca5f6a206655762194;72b87eb2979febcd9f17ffdc77dd78b38a8b7b39c469a03de1785abe653c0ec4;False;False
JULES;35000;35238;112104;RENNES;30515426202850;11 RUE DE LA VISITATION;RENNES;35238;35000;F;INSEE_AND_CP;S241016_19690;Fibre Essentiel;terminated;2;305154262;False;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;1aac08d637a0b1e22322097e0d14fe9cedc648733dd0a1abf4c84ef14c34f153;bfd096a744a0b634ea731cdb20aabb005e779b158d80ab2568f063103ca6ed6f;False;False
POLE EMPLOI;80480;80261;112105;DURY;13000548107452;1 PLACE DES MAGNOLIAS;DURY;80261;80480;A;INSEE_AND_CP;S241016_53806;Fibre Essentiel;active;1;130005481;True;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;d974471fd17330ab9bee441a806b134fc00b19b279e6d90594b57e0f84ad0f7e;c81c2b8293f4e6af7d393dc2dc9bed8c3fad6d7b28f4999076e0b89d25ec1d35;False;False
HOTEL RESTAURANT DU LADHOF;68000;68066;112107;COLMAR;31613776900014;198 RUE DU LADHOF;COLMAR;68066;68000;A;INSEE_AND_CP;S241016_37245;Fibre Confort;active;2;316137769;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;392d9d98868a0162679c6c1b3c87c8420cb1d7f3c7cf0299a65670df1654a20b;281d5476a1a49a704ed255cb5fc511472700127d2c74da208ab82c5b589d8e14;False;False
COMMUNE DE RIVE DE GIER;42800;42186;112108;RIVE DE GIER;21420186500018;18 RUE CLAUDE DRIVON;RIVE DE GIER;42186;42800;A;INSEE_AND_CP;S241016_23308;Fibre Essentiel;active;1;214201865;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;ba1e95d29cbae9617f0cfbd54d76bc4c993c2063bc414496ab89fba33f709cc4;2a7aac86cb4c07435be3a2225fede36157970ad5b191b8417e05e0c81a3a7a17;False;False
COMMUNE DE MONTCEAU LES MINES;71300;71306;112115;MONTCEAU LES MINES;21710306800011;4C IMPASSE DE PERRECY;MONTCEAU LES MINES;71306;71300;A;INSEE_AND_CP;S241016_79505;Fibre Essentiel;active;1;217103068;True;EXISTING_TRAIN_COMPONENT;5421ba1cf4b897271aaccfa44bb46d8de859aa31656c4bdb7fb4a7d1eae0bf36;c72ab7560485acc63fe81836d9cebaac4f5c2462d3eb153edfd77cbd99f0a93e;False;False
CENTRE COMMUNAL D ACTION SOCIALE;33500;33243;112116;LIBOURNE;26330240800129;21 RUE PLINE   PARMENTIER;LIBOURNE;33243;33500;A;INSEE_AND_CP;S241016_94058;Fibre Essentiel;active;1;263302408;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;ba53cdeda1084a242526b354f6897c0eca060859b2cda1f1df9c93ef6facbb3d;21b859b6e3adec34c81c85111daf4e0a8641ae5498c115f9d5ca1ef9fed4764e;False;False
SM E-COLLECTIVITES;85110;85051;112118;CHANTONNAY;21850051000019;31 AVENUE GEORGES CLEMENCEAU;CHANTONNAY;85051;85110;A;INSEE_AND_CP;S241016_87832;Revente Fibre Essentiel AI;active;1;218500510;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;bb31864b10911ed3d2ad93e1c62667db82b69974e87355dd57f10eca10704a53;b2ffa32e981084954701de4979ffcd28770cd0389f5b9905213c5892860d7663;False;False
GROUPE MG;74450;74136;112120;LE GRAND BORNAND;40920575400065;205 ROUTE DE VILLAVIT;LE GRAND BORNAND;74136;74450;A;INSEE_AND_CP;S241016_18765;Revente Fibre Essentiel AI;active;1;409205754;False;EXISTING_TRAIN_COMPONENT;cde848a332dfa624643064cc1bc234393adb1cc4affa9ab02f83a52f47c067f2;9afcfcc720d6a62cddfa37ce9663800302c6bd5b6bad35eade9b7273c39c4f3c;False;False
AGENCE NATIONALE POUR LA FORMATION ;92190;92048;112121;MEUDON;82422814201726;14 AVENUE DU MARECHAL JUIN;MEUDON;92048;92360;A;INSEE_ONLY;S241016_31125;Fibre Essentiel;active;1;824228142;False;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;aaf510525aad3dae65ed65c447cbddb24d4b34c51d098801403298bf6b4163bf;40ab56dfe6e2cd63f0bddc57efb464d0f77ccb35d2784666032a553129e19202;False;False
COM MONTCEAU - CTRE CULTUREL EMBARCADERE;71300;71306;112124;MONTCEAU LES MINES;21710306800011;36 QUAI JULES CHAGOT;MONTCEAU LES MINES;71306;71300;A;INSEE_AND_CP;S241017_81365;Fibre Essentiel;active;1;217103068;True;EXISTING_TRAIN_COMPONENT;45fd5dd99c16b481381136f6646c57b50afefbf7fd9d36845ff4db9b97b7796f;246926fbd69a81d8ad9c1f82d87bdf205f91fc213935c5a80b01af99fce2ca5a;False;False
SCE DEPARTEMENTAL INCENDIE ET SECOU;59690;59616;112134;VIEUX CONDE;28590001500402;2 ZONE INDUSTRIELLE L AVALERESSE;VIEUX CONDE;59616;59690;F;INSEE_AND_CP;S241017_23495;Fibre Essentiel;active;1;285900015;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;a6f9780cf793dd17e091f7b286d0f359db8f1bd06f3610d496dbbcb6b6241c84;c419822d230655d5f9fd134efa2ba66deb3308ed615e82ed1eb35a37d81300c8;False;False
NEW MTF KING JOUET;84000;84007;112137;AVIGNON;88836041900855;380 AVENUE MARCOU DELANGLADE;AVIGNON;84007;84000;F;INSEE_AND_CP;S241017_68426;Fibre Essentiel;terminated;2;888360419;False;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;c3dacbc18aaaecabb82e2d461f3270defcb8d8875216e93724e122ee2c205bd4;df33669ecfbdeff365cddd7819597889c2db7b44c96df17f76269d1e2b15db34;False;False
COMMUNE DE MONTCEAU LES MINES;71300;71306;112140;MONTCEAU LES MINES;21710306800011;4 IMPASSE DE PERRECY;MONTCEAU LES MINES;71306;71300;A;INSEE_AND_CP;S241017_32010;Fibre Essentiel;active;1;217103068;True;EXISTING_TRAIN_COMPONENT;d48731855787c6feae1a928ec4ba9d18056199dea1b7c0c3aafac854e2b5e021;58d52f23d50b62a90f9d757f107e6a6b90e24385b89fbc0b5f145195e7f65371;False;False
COMMUNE DE SOULAC SUR MER;33780;33514;112155;SOULAC SUR MER;21330514700018;0 BOULEVARD CHARCOT;SOULAC SUR MER;33514;33780;A;INSEE_AND_CP;S241017_62060;Revente ADSL;active;1;213305147;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;cc7f20fac60d5e10cbda31e8ffe18afa6d38189be29771e53b6aa8c6368a42b0;5841218e5bf32e0c3e6f2a88de02076691ace69da226097892b6cb653aa199a7;False;False
LCM DIJON FRANCHE;25300;25309;112175;HOUTAUD;44152060800056;7 RUE DAME VERTE;HOUTAUD;25309;25300;A;INSEE_AND_CP;S241017_65633;Revente Fibre Essentiel AI;active;1;441520608;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;b98c1533752d375ee17b19156e7f9f497aa7f9768aba54b2094b307b2ad6db35;0a1b9896e00e90367e025bf213cf242cd346b6e7bfeb5b2be103da8aea5a5ba9;False;False
COMMUNE DE SOULAC SUR MER;33780;33514;112177;SOULAC SUR MER;21330514700018;0 RESIDENCE SOLEIL D OR;SOULAC SUR MER;33514;33780;A;INSEE_AND_CP;S241017_00782;Fibre Essentiel;active;1;213305147;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;80954552a17ad257b288935ad57a33de133e99549b16b5933a43b65c2e038ecd;25d1f5960f1d2934c33c4b12d56a240365c0722283611e9a3ba64b578924d8f7;False;False
Opticien ANNEMASSE Generale d Optique;74100;74012;112179;ANNEMASSE;49278795706105;33 RUE DE LA RESISTANCE;ANNEMASSE;74012;74100;A;INSEE_AND_CP;S241017_95926;Fibre Essentiel;active;1;492787957;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;0dcc5cff8dbfcc07a03b2bafeb9346d91e838f5db59f6e3296ed5d4e40211f8e;cedf1bf9dcc19bd2906254a939612e076fbd6e38cdb954f5b3b5b2c8ee234765;False;False
COMMUNE DE MONTCEAU LES MINES;71300;71306;112181;MONTCEAU LES MINES;21710306800011;37 RUE JEAN JAURES;MONTCEAU LES MINES;71306;71300;A;INSEE_AND_CP;S241017_19264;Fibre Essentiel;active;1;217103068;True;EXISTING_TRAIN_COMPONENT;b2378bbdab1dda1b9cab0e822819b2d35af2e59970f25b449571b414a4210e6a;e16a22273f114870895ba328ea77a571682911cfb9461c698ac46e2b9be8a008;False;False
SCE DEPARTEMENTAL INCENDIE ET SECOU;59491;59009;112184;VILLENEUVE D ASCQ;28590001500089;42 RUE DU PRESIDENT PAUL DOUMER;VILLENEUVE D ASCQ;59009;59491;F;INSEE_AND_CP;S241017_77641;Fibre Essentiel;active;1;285900015;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;e3d9ab81dc659f8486755394ff7235297826aa7df0b96a93da4f293e36d8895d;0adaf0c975e2f8b95ffdebd4cfa6ac7f5d93da76144d5b197ec5062d9f5cc8b0;False;False
INTERSPORT FRANCE;59273;59256;112185;FRETIN;44516551700019;54B RUE LEON GAMBETTA;FRETIN;59256;59273;A;INSEE_AND_CP;S241017_83709;Fibre Essentiel;active;1;445165517;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;b3a05f8cebb169d5afd827cfc64218f837f2664e47ab16d2158858a9dcfe1dfd;c9da1b7302f90c15ab8b0a22300303f7d026c6972563a109fe4839acf367f3b1;False;False
COMMUNE DE BOURG-LES-VALENCE;26500;26058;112192;BOURG LES VALENCE;21260058900015;19 RUE JULES FERRY;BOURG LES VALENCE;26058;26500;A;INSEE_AND_CP;S241017_83419;Fibre Essentiel;active;1;212600589;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;5d976b98d61497ddb34eaf0edd0454f053b42a1bcc74d0aaaa15064eb2676402;d6807a2e2fc4e7cd2925ef27146a4e78c557b0a0cc0eef1a30bd556a2e4d5813;False;False
PETR VAL DE LORRAINE;54700;54431;112193;PONT A MOUSSON;20005510100014;13 RUE DU FOUR;PONT A MOUSSON;54431;54700;A;INSEE_AND_CP;S241018_52650;Revente Fibre Essentiel AI;active;1;200055101;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;f0a6a2162f315deecfa4f446f92ad5e2a26012ceee247803cedc4a6467e7427a;e4144914168b76d7a1d42a2402cb632ac5c7e0012a043ae8a47832f443290006;False;False
Opticien et Audioprothesiste Generale dOptique;69003;69383;112199;LYON;49278795701973;17 RUE DU DOCTEUR BOUCHUT;LYON;69383;69003;A;INSEE_AND_CP;S241018_67519;Fibre Essentiel;active;1;492787957;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;74e81a46deb8b58b090599ab05be17cd4e27a81e7d2c13249601735b046081e1;57f11f51d888235228f65f6e8c47f7cddfc9e38b08b165e8a3d57105827c8bc7;False;False
COMMUNE DE MONTCEAU LES MINES;71300;71306;112201;MONTCEAU LES MINES;21710306800011;25 RUE DE SAINT GENGOUX;MONTCEAU LES MINES;71306;71300;A;INSEE_AND_CP;S241018_13320;Fibre Essentiel;active;1;217103068;True;EXISTING_TRAIN_COMPONENT;28169c4e46d3318270dcc5b910bd65fddaba6723698ebc005f808ec68303b26d;e2ebb33f2411c42868704e892116ec48a8392bc7d3de5358bea8f302abbdfbed;False;False
MISSION LOCALE DES JEUNES DE MONTPELLIER;34000;34172;112203;MONTPELLIER;41391443300052;191 RUE D ATHENES;MONTPELLIER;34172;34000;A;INSEE_AND_CP;S241018_93667;Fibre Essentiel;active;1;413914433;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;e76f650323897cbc61ca9489854af9afbffc496436816da43e71436ccb9f16e5;b7e450da81ae659766b647d1d953fa3d1b7220d0523b00715132b32e944b3b0a;False;False
CAB;33510;33005;112206;ANDERNOS LES BAINS;40905288300058;34 AVENUE DE TAUSSAT;ANDERNOS LES BAINS;33005;33510;A;INSEE_AND_CP;S241018_72614;Fibre Essentiel;active;1;409052883;False;EXISTING_TRAIN_COMPONENT;097aa1eb6eeef94cff06dbec2000a3b4ae2ba09ff5ef3ac4644c7fdadcaba642;108a35d21d57a88866c35c43384706dbe1ab489105f128202dfba7fa7b8a471c;False;False
WALL STREET ENGLISH-67 STREET;67000;67482;112207;STRASBOURG;50810258900019;5 PLACE DU CORBEAU;STRASBOURG;67482;67000;A;INSEE_AND_CP;S241018_89788;Fibre Essentiel;active;1;508102589;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;c4e1ecb59e528b27fb8a3eb0c486b2fedfa695302be81ecaf7d4d866190a2385;d95698815596d8fbea803c97c4dff08f4dc2df6d5dadeb68de9aad8a90db9569;False;False
IBACOM PACA SARL;74150;74165;112210;MARIGNY ST MARCEL;84254199700016;30 RUE DES GRIVES;MARIGNY ST MARCEL;74165;74150;A;INSEE_AND_CP;S241018_91169;Revente Fibre Essentiel AI;active;1;842541997;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;066f811a4b48181fbf32c5372da2e1c11c06adc88f4bf74f1cda05dbca82ff68;cb6ce0bd4ffca77fc2e492b080f64865edde869bbd4e9c1f7fd7bf21e1a5f898;False;False
MAIRIE DE VITRY LE FRANCOIS;51300;51649;112217;VITRY LE FRANCOIS;21510602200019;10 RUE JULES FERRY;VITRY LE FRANCOIS;51649;51300;A;INSEE_AND_CP;S241018_66845;Revente Fibre Essentiel AI;active;1;215106022;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;682660b71ca02e38350dc44b5d83f8b3ec05650105c48dbaccc5411890e002e7;142f328cd6789ca784b4c0a4903843e382abeb47e60580431f8aad9363421c3b;False;False
DOME SALLE DES EXPOSITIONS ;66660;66148;112221;PORT VENDRES;21660148400019;0 PLACE DE L OBELISQUE;PORT VENDRES;66148;66660;A;INSEE_AND_CP;S241021_20677;Revente Fibre Essentiel AI;active;1;216601484;True;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;e21440762ebc9d9bb8fb7464723ba54a34a386bf453a7f9c6040e41abf9dbcf6;60c66e9fb9f14c2f132f74e6b68153acbe6bce572508f1d38e3673320ad1bdf5;False;False
MAIRIE DE MANTES LA JOLIE;78200;78361;112232;MANTES LA JOLIE;21780361800016;0 PLACE MENDES FRANCE;MANTES LA JOLIE;78361;78200;A;INSEE_AND_CP;S241021_61270;Fibre Essentiel;active;1;217803618;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;cb518edc2af68b750ce67418166c5eecb23aa7f3d9982ecb214ca1baad256a7a;610877c5d5649dfac96dd1d0582549ca09bda2b25bd484d71e4842094a232c7e;False;False
PRESQU ILE HABITAT - PIH CASINO;50100;50129;112238;CHERBOURG EN COTENTIN;27500001600020;1 RUE LOUIS PHILIPPE;CHERBOURG EN COTENTIN;50129;50100;A;INSEE_AND_CP;S241021_60330;Revente Fibre Essentiel AI;active;1;275000016;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;f003023307338a35d34087cb69e36943023a9c5c359ac373d8ac51e43357c275;2e47f85a6a6a51e346bf498596d87c920c72e3ce9d2d5237cc4f5ad10fbe8198;False;False
PRESQU ILE HABITAT - PIH COUPLETS;50100;50129;112239;CHERBOURG EN COTENTIN;27500001600020;27 RESIDENCE DES COUPLETS;CHERBOURG EN COTENTIN;50129;50100;A;INSEE_AND_CP;S241021_13971;Revente Fibre Essentiel AI;active;1;275000016;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;9479333a4f27ecd8518e1ae239733cc55e7fdaadc05aa6373dc2310a0db0cf0c;661d347f1d8a1e3aa0219860dccb6c7f59475ee9186ce31f141dc7a7a45ec189;False;False
CERTISOLIS  ;73370;73051;112240;LE BOURGET DU LAC;51772047000015;10 AVENUE LAC LEMAN;LE BOURGET DU LAC;73051;73370;A;INSEE_AND_CP;S241021_11154;Fibre Essentiel;active;1;517720470;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;202341e293592789808f153bff724daab546741f5f5ea46d16e4ed179d568a66;443bcab8c5f469add35c257e0b4050285ba093eada37117a10bcd2d0d9ef57a6;False;False
CIME;92130;92040;112241;ISSY LES MOULINEAUX;30616817000059;26 RUE MARCEAU;ISSY LES MOULINEAUX;92040;92130;A;INSEE_AND_CP;S241021_07140;Fibre Essentiel;active;1;306168170;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;b254debff5c8022fb949685e586fd5823e8672e6c732da9525a0e2f7f39ea1cb;d8bc8603339314ff7fe36fbac034d253dd7748d41a5b59ab5622dc6d97264f77;False;False
ECOLE MATERNELLE PAULINE KERGOMARD;59115;59339;112244;LEERS;21590339400017;41 RUE LEONARD DE VINCI;LEERS;59339;59115;A;INSEE_AND_CP;S241021_41547;Fibre Essentiel;active;1;215903394;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;602cfb2c8286ff65a6568eae68564aaf17bcb2f4cb093fb5bbd88fcf658c612f;3c53375cafdb161a9760ff27fcaabeb4a1e9484c1374f904ebc79c9373ecdf9d;False;False
CYJENA CONSEIL;73200;73011;112245;ALBERTVILLE;84398228100035;2A RUE LEONTINE VIBERT;ALBERTVILLE;73011;73200;A;INSEE_AND_CP;S241021_42389;Fibre Essentiel;active;1;843982281;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;08a220994cac9ef3c19bed2cc5d2c27849d8f2a19d25e9489949353eb9a62198;4e3a29d4e130fba840e7ea51ef9f21779047eb326e34249ddc4a7f2e8ccee0d0;False;False
MAIRIE DE VIERZON;18100;18279;112249;VIERZON;21180279800010;8 AVENUE DE LA REPUBLIQUE;VIERZON;18279;18100;A;INSEE_AND_CP;S241021_85155;Fibre Essentiel;active;1;211802798;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;843c2dd0d1c832c68457096e7e287fc400273de8de76458a853cbeb07af607b8;207b7e12826bfd550f46297d7a847a6629bda28a2b180ad06e56862933581177;False;False
MISSION LOCALE DES JEUNES DE MONTPELLIER;34000;34172;112252;MONTPELLIER;41391443300052;35 RUE DE LA HAYE;MONTPELLIER;34172;34000;A;INSEE_AND_CP;S241021_02628;Fibre Essentiel;active;1;413914433;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;0b9ca84f0bb00d4920494dcd20b187a5e731b2edebdd63ec62b6ed30394d4c36;0f39e56a05108d2ea9f6fa4b7644ae7496f9ba549acb47964532539f53828910;False;False
COMMUNE DE SOULAC SUR MER;33780;33514;112253;SOULAC SUR MER;21330514700018;43B BOULEVARD GUY ALBOSPEYRE;SOULAC SUR MER;33514;33780;A;INSEE_AND_CP;S241021_41002;Fibre Essentiel;active;1;213305147;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;c8e51d522ddf5070fd8778ceb31d1b5bcbea609a9806e6602e558ba79e0eac13;10cc2eca51fb0435cafaee2efb2489157f59049f70c79d4c435d1a26c4c4ad8d;False;False
COMMUNE DE COURNON D AUVERGNE;63800;63124;112254;COURNON D AUVERGNE;21630124200014;52 AVENUE DES DOMES;COURNON D AUVERGNE;63124;63800;A;INSEE_AND_CP;S241021_50344;Fibre Essentiel;active;1;216301242;True;EXISTING_TRAIN_COMPONENT;685d7b30b00e86ca225f7f3237d47c29dda7df12f12cd6773c03884c17a78c5c;44ee1f0f1ddd0431fbec5df2fb2be3f99ebc1d744caed34d16c53a8e255c8c3d;False;False
RECTORAT DE LACADEMIE DE DIJON;71300;71306;112256;MONTCEAU LES MINES;17710431200133;6 AVENUE SAINT EXUPERY;MONTCEAU LES MINES;71306;71300;F;INSEE_AND_CP;S241021_47489;Fibre Essentiel;active;1;177104312;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;43b730acb9d0f815c6b3afb86608c0c6302b3cb5ac7c02e9464e840fa34afb4c;8c11c189a95c6c641499beb4c477de7440b5c4025ac97f90b7042ba0f6d10c6a;False;False
GROUPAMA SUPPORTS ET SERVICES;44000;44109;112258;NANTES;78835495900017;9 RUE DU MARCHIX;NANTES;44109;44000;A;INSEE_AND_CP;S241021_64110;Fibre Essentiel;active;1;788354959;True;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;4431db00499c988740884995bcc2ddef43d3f52ecc4b22bb4a3d039bd6d8bb3d;cfb7d09a6c47ff8d1cd190aa6fa071494d4a2147eaca2403b0a05ae5558a0651;False;False
COMMUNE DE COURNON D AUVERGNE;63800;63124;112259;COURNON D AUVERGNE;21630124200014;34 PLACE JOSEPH GARDET;COURNON D AUVERGNE;63124;63800;A;INSEE_AND_CP;S241021_17192;Fibre Essentiel;active;1;216301242;True;EXISTING_TRAIN_COMPONENT;5cdcd0f0565360fc3189b085e043553af61a9e5e8b5fc6a56b6e1a7715690f5a;41cdcbcac69a208b9d0ab25dc714eb352dd0340098e41ea02c1efd654fce5b81;False;False
CONSEIL DEPARTEMENTAL DE LAISNE - ;02430;02340;112260;GAUCHY;19021494000016;0 RUE GERARD PHILIPE;GAUCHY;02340;02430;A;INSEE_AND_CP;S241021_54934;Fibre Essentiel;active;1;190214940;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;b892de2dc18bb78a868cb0f675a235c619d648363d0ebeb12efa5c6aa40c7cd0;4ff28bee33c637284051ec82ea4acd3dd31633a7de9704f39ae27c089a7a9911;False;False
MAISON DONA;31000;31555;112263;TOULOUSE;92990618800016;25B RUE MIRAMAR;TOULOUSE;31555;31200;A;INSEE_ONLY;S241021_51534;Fibre Essentiel;active;1;929906188;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;3d5b6f9eed5c78222e343234c8b19ca8e196d5a134676cac76c72664d2f3a671;11bb20243724181fca9936bbf2353e6db8975925932691b9dbe7f86e61a0cd09;False;False
AGENCE NATIONALE POUR LA FORMATION ;63110;63032;112268;BEAUMONT;82422814200835;16 RUE VERCINGETORIX;BEAUMONT;63032;63110;A;INSEE_AND_CP;S241021_53524;Fibre Essentiel;active;1;824228142;False;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;70bdbd7ecf49c834f1a30aff93f6a29af63de1479f0478f713e58acbeae99b32;aeff2337aba5c90a9dce49dcef1a9e9a5ad83615486e3002be55e416c3f8d811;False;False
