crm_name;crm_cp;crm_insee;crm_id;crm_commune;gt_siret;crm_adresse;SITE_CLI_COMMUNE;sirene_insee;sirene_cp;sirene_etat;loc_match_type;source_reference;source_product_category;source_contract_state;source_duplicate_count;target_siren;already_in_crm_ok_gt_exact;existing_component_relation;crm_surface_fingerprint;crm_gt_fingerprint;ambiguous_exact_truth_for_crm_surface;already_in_crm_ok_gt_exact_surface
SOCIETE DAMENAGEMENT FONCIER ET D;42000;42218;100065;ST ETIENNE;06250036800238;5 RUE DE LA TELEMATIQUE;ST ETIENNE;42218;42000;A;INSEE_AND_CP;S231024_60225;Fibre Essentiel;active;1;062500368;False;EXISTING_TRAIN_COMPONENT;7f6308e784c145828c6effb3aebf1837e491231aa42eec87820d7cafdb38fe34;0bdc89b7c87a2b73a1da72aec8ef3f489524c46f3e9edc7e4ea8d7316467d2a2;False;False
CENTRE SOCIO-CULTUREL LA BLAISERIE;86000;86194;100066;POITIERS;32075384100016;39B RUE DE L AEROPOSTALE;POITIERS;86194;86000;A;INSEE_AND_CP;S231024_19444;Fibre Essentiel;active;1;320753841;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;61e023b9c41e13aabd2cdebce06c4d1ad45292468c9a52bb7704a48aa33fd0c2;f2e3dac8ae5fe32010cdc095cbe649c1ab928929eecd7d72f8f450668bacca53;False;False
AMICALE LAIQUE DE COTE CHAUDE;42000;42218;100076;ST ETIENNE;77637853100011;11 RUE ANDRE DE CHENIER;ST ETIENNE;42218;42000;A;INSEE_AND_CP;S231024_58451;Fibre Essentiel;active;1;776378531;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;fe744eb7e8bdcc48b93ed34246d9400805fc1c48b1e4fcc4cf006900aa4e8042;60f6400739bf2f9357d1107ebfc1510c20534e97cf9428bf1e8ed0fb6889e4d2;False;False
COMMUNE DE TASSIN LA DEMI LUNE;69160;69244;100079;TASSIN LA DEMI LUNE;21690244500016;27 AVENUE GENERAL LECLERC;TASSIN LA DEMI LUNE;69244;69160;A;INSEE_AND_CP;S231024_91564;ADSL;terminated;2;216902445;True;EXISTING_TRAIN_COMPONENT;a2d83a70381983dd503a546c5d64d793de6ca151380e8ff6078f829ee2aae0ae;e67936d685e6396cb122e5ff6a4a6871ee3d97f524bf7b4fa47f8ef6d575d985;False;False
BTP GEIQ 31;31000;31555;100095;TOULOUSE;39230436600041;95 CHEMIN DE GABARDIE;TOULOUSE;31555;31200;F;INSEE_ONLY;S231024_24995;Fibre Essentiel;active;1;392304366;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;80eb966ff76e6511938a089091eb48e682c5e5969c70aaefe8b2d8e7e4e980b5;e2d618f5ca085ea2b80a4a76bbbb08280c480b1aa3adc0b1529a21cfb2f2b097;False;False
IN EXTENSO OPERATIONNEL;83000;83137;100096;TOULON;72950121300031;209 RUE JEAN JAURES;TOULON;83137;83000;F;INSEE_AND_CP;S231024_95868;Fibre Essentiel;active;1;729501213;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;4331581a3603bd296752d5faf3abe81466282fe75dc7a432a404ebd2706a8893;7f948897877f73ead5623cd111e94e41a7b847080ff09482537979f823fb9fe4;False;False
FRANSYL SARL;59700;59378;100103;MARCQ EN BAROEUL;32446686100063;348 RUE DE MENIN;MARCQ EN BAROEUL;59378;59700;A;INSEE_AND_CP;S231025_09294;Fibre Essentiel;active;2;324466861;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;e98a22f86eb3d78ba39caadb19138ff07f73ea37300ad533c38664420fd3615b;88950d43a7578c3c4a6f743bb56c8354e6aa774314895d4265d6f9b420545332;False;False
SOCIETE GENERALE;08600;08190;100109;GIVET;55212022214543;1 RUE FLAYELLE;GIVET;08190;08600;A;INSEE_AND_CP;S231025_14072;Revente Fibre Essentiel AI;active;1;552120222;False;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;4a65042a3cc50f75d0915ff1eeec6a0b46686f112279aedc35091e1171aa29cb;c6e9058b4145b624fbacaac7e5e93dbcbe85558cba7246bf3c04e1a09a990a22;False;False
Pharmacie Mary Hecquet;59200;59599;100115;TOURCOING;97936404900010;9 RUE DU GENERAL LECLERC;TOURCOING;59599;59200;A;INSEE_AND_CP;S231025_66799;Fibre Essentiel;active;2;979364049;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;34395a0e5ea64ea1866835201495069011009089bdc645ccc9c2d6f76b924b9a;00c15496395ac489a7437da7b59cb8433eae071e0f383d8293b225aa935fa332;False;False
KING JOUET SAS-KJ0510 - VALENCE;26320;26313;100116;ST MARCEL LES VALENCE;34792671900068;0 CHEMIN DE LAYE;ST MARCEL LES VALENCE;26313;26320;A;INSEE_AND_CP;S231025_26478;Revente ADSL;active;1;347926719;False;EXISTING_TRAIN_COMPONENT;3fed3af1d42895fa585fb48c46bef14b2196b1468a16db31054f3a1d8e1100bf;e3a24be8283da962c60d5fcc567f484eea30a7a11e627d616d26a0c0068bce77;False;False
POLE EMPLOI;67300;67447;100117;SCHILTIGHEIM;13000548126619;4A RUE DE LA HAYE;SCHILTIGHEIM;67447;67300;A;INSEE_AND_CP;S231025_57759;Fibre Essentiel;active;1;130005481;False;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;6beedc480731f462a4dfaf69d90b6400a8bd48fc6dab549c1863b1197ffc0cf3;ee8ff337abed4267bf757c6530e275fab7d0d5003268e15450b39ed9eebca465;False;False
PHARMACIE DE LA POSTE - PERAUDEAU GUILBAUD;85300;85047;100118;CHALLANS;53180860800016;12 RUE CARNOT;CHALLANS;85047;85300;A;INSEE_AND_CP;S231025_62463;Revente Fibre Essentiel AI;active;1;531808608;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;6d72a263e0bf4b8a6456f2e67140fd95df976c5c66fe70d6852c7e20c59e13fd;77d898380da2423b1296304ec9a5ea62946c2b4e1fa20bbd77f3edb5cf823d69;False;False
MFR LA GRANDE COLOMBE;78120;78517;100125;RAMBOUILLET;39946530100014;5 RUE DE LA GRANGE COLOMBE;RAMBOUILLET;78517;78120;A;INSEE_AND_CP;S231025_08438;Revente ADSL;active;1;399465301;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;0f8858bd4e4d87ec0f2428b531e18a76ac4d25e2078a8a87b09870a73c2bc52b;91f18fe4096fd69f00f62259c9c2e8a84a16544d9f67e9483844649c0b7579b2;False;False
GARAGE LAURENT BOCHET;74230;74280;100126;THONES;41269193300011;1H AVENUE D ANNECY;THONES;74280;74230;A;INSEE_AND_CP;S231025_68620;Revente Fibre Essentiel AI;active;1;412691933;True;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;294dcbc4ebae8597a17c31e92bcf5badbd14afe4014f70135b1c4bbdab4ef2d6;fa340e0f1f8a4214729ddfd3c9089ff4dc1110f7e76d09184f10bb56a82f7620;False;False
SOUDRY SAS;14600;14333;100129;HONFLEUR;35101982300142;0 ROUTE DU BASSIN CARNOT;HONFLEUR;14333;14600;A;INSEE_AND_CP;S231025_02282;Revente Fibre Essentiel AI;active;1;351019823;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;61796ee7bbb7379197982bb0166a7e4d953f6e8ce8f3cd3869bb73b948105640;619568dc47c006b53d3577ad2c872b6385dc1fa7c5067757fc1f236633148a87;False;False
COUR D APPEL DE CHAMBERY;74100;74012;100132;ANNEMASSE;17730111600303;8 RUE DU PETIT MALBRANDE;ANNEMASSE;74012;74100;A;INSEE_AND_CP;S231025_09430;Fibre Essentiel;active;1;177301116;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;4bf14c861220c00e82efb17ce43bdc626603580c8943f1e6102e850906eecce1;b992be6f8f49f459a82bf822b714e98e0c5693ae7aa9427e333430848aabf020;False;False
QUARTIER GENERAL DE L IMMOBILIER;75005;75105;100137;PARIS;53468816300011;8 RUE LINNE;PARIS;75105;75005;A;INSEE_AND_CP;S231025_87513;Fibre Essentiel;active;1;534688163;False;UNSEEN_SIREN_NEEDS_ASSIGNMENT;e08f142485a591d6db14e226f866ebb6f2cff8bc1c8db1e63ea64f76737a52fc;a726069e875477d096b5cf787c307d05cc126d23b331b66414011508cc49f729;False;False
FONDATION COS ALEXANDRE GLASBERG;75007;75107;100145;PARIS;77565757000492;21 RUE DU GENERAL BERTRAND;PARIS;75107;75007;A;INSEE_AND_CP;S231025_21899;Fibre Essentiel;active;1;775657570;False;QUARANTINE_EXISTING_NONTRAIN_COMPONENT;9d74533bdabb955525fac6f5806832a753cc56f5116d8086bdf385db83b77bc3;f78c09c7b285dfa263052ffca99c2b33455bbaa5d36ebb90fbd5ddeb755afd2c;False;False
